season,week,position,player_id,player_display_name,actual,baseline_pred,ensemble_pred,model_pred,q10,q50,q90,baseline_error,model_error,ensemble_error,model_advantage,ensemble_advantage
2023,1,WR,00-0036268,Laviska Shenault Jr.,4.1,3.55,5.051,5.16,0.007,3.36,13.933,0.55,1.06,0.951,-0.51,-0.401
2023,1,WR,00-0036271,Quez Watkins,3.7,2.825,6.136,5.625,0.049,3.973,13.25,0.875,1.925,2.436,-1.05,-1.561
2023,1,WR,00-0036309,Darnell Mooney,15.3,13.025,11.206,11.227,2.355,9.004,21.793,2.275,4.073,4.094,-1.798,-1.819
2023,1,WR,00-0036322,Justin Jefferson,24.0,17.975,15.045,14.477,5.416,13.595,24.998,6.025,9.523,8.955,-3.498,-2.93
2023,1,WR,00-0036326,Chase Claypool,0.0,4.45,6.505,6.136,0.329,4.658,16.046,4.45,6.136,6.505,-1.686,-2.055
2023,1,WR,00-0036331,Devin Duvernay,0.0,5.525,4.66,2.269,0.157,0.444,4.564,5.525,2.269,4.66,3.256,0.865
2023,1,WR,00-0036345,K.J. Osborn,6.1,18.0,13.615,14.389,4.186,10.986,22.579,11.9,8.289,7.515,3.611,4.385
2023,1,WR,00-0036358,CeeDee Lamb,11.7,22.725,15.534,14.74,6.252,14.0,25.794,11.025,3.04,3.834,7.985,7.191
2023,1,WR,00-0036410,Tee Higgins,0.0,14.325,12.56,11.744,2.643,9.756,21.542,14.325,11.744,12.56,2.581,1.765
2023,1,WR,00-0036415,Van Jefferson,6.4,7.475,10.487,11.519,1.654,9.223,18.912,1.075,5.119,4.087,-4.044,-3.012
2023,1,WR,00-0036550,Rashod Bateman,6.5,4.7,7.991,7.195,1.551,5.441,17.0,1.8,0.695,1.491,1.105,0.309
2023,1,WR,00-0036554,Nico Collins,14.0,12.15,10.425,10.265,2.75,9.711,20.338,1.85,3.735,3.575,-1.885,-1.725
2023,1,WR,00-0036613,Jaylen Waddle,11.8,16.05,12.657,13.491,2.937,9.728,20.642,4.25,1.691,0.857,2.559,3.393
